2025-12-24 16:59:47 | INFO     | setup_logging:58 | ================================================================================
2025-12-24 16:59:47 | INFO     | setup_logging:59 | JUDGE SWAP ANALYSIS - RUN STARTED
2025-12-24 16:59:47 | INFO     | setup_logging:60 | ================================================================================
2025-12-24 16:59:47 | INFO     | setup_logging:61 | User: droytbur
2025-12-24 16:59:47 | INFO     | setup_logging:62 | Hostname: babel-p5-28
2025-12-24 16:59:47 | INFO     | setup_logging:63 | Timestamp: 20251224_165947
2025-12-24 16:59:47 | INFO     | setup_logging:64 | Log file: judge_swap_null_dbg_results/truthfulness/analysis/file_logs/analyze_judge_swap_20251224_165947.log
2025-12-24 16:59:47 | INFO     | setup_logging:65 | ================================================================================
2025-12-24 16:59:47 | INFO     | main:460 | Results directory: judge_swap_null_dbg_results/truthfulness
2025-12-24 16:59:47 | INFO     | main:461 | Output directory: judge_swap_null_dbg_results/truthfulness/analysis
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded gemma-2-9b-it/Llama-3.1-8B vs Llama-3.1-8B-Instruct: J_vs_R_g1=270, J_vs_R_g2=270, K_vs_R_g1=162, K_vs_R_g2=162
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded gemma-2-9b-it/Qwen2.5-7B-Instruct vs Llama-3.1-8B-Instruct: J_vs_R_g1=270, J_vs_R_g2=270, K_vs_R_g1=190, K_vs_R_g2=190
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded gemma-2-9b-it/Llama-3.1-70B-Instruct vs Llama-3.1-8B-Instruct: J_vs_R_g1=270, J_vs_R_g2=270, K_vs_R_g1=145, K_vs_R_g2=145
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded gemma-2-9b-it/Llama-3.1-8B vs gemma-2-9b: J_vs_R_g1=138, J_vs_R_g2=138, K_vs_R_g1=138, K_vs_R_g2=138
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/Llama-3.1-8B vs Qwen2.5-7B: J_vs_R_g1=225, J_vs_R_g2=225, K_vs_R_g1=124, K_vs_R_g2=124
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/Qwen2.5-72B vs Qwen2.5-7B: J_vs_R_g1=225, J_vs_R_g2=225, K_vs_R_g1=181, K_vs_R_g2=181
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/Qwen2.5-72B vs Qwen2.5-72B-Instruct: J_vs_R_g1=179, J_vs_R_g2=179, K_vs_R_g1=131, K_vs_R_g2=131
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/Llama-3.1-70B-Instruct vs Qwen2.5-72B-Instruct: J_vs_R_g1=179, J_vs_R_g2=179, K_vs_R_g1=110, K_vs_R_g2=110
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/Llama-3.1-8B vs Llama-3.1-8B-Instruct: J_vs_R_g1=276, J_vs_R_g2=276, K_vs_R_g1=167, K_vs_R_g2=167
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/gemma-2-9b-it vs Llama-3.1-8B-Instruct: J_vs_R_g1=276, J_vs_R_g2=276, K_vs_R_g1=190, K_vs_R_g2=190
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Qwen2.5-7B-Instruct/Llama-3.1-70B-Instruct vs Llama-3.1-8B-Instruct: J_vs_R_g1=276, J_vs_R_g2=276, K_vs_R_g1=147, K_vs_R_g2=147
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Llama-3.1-8B-Instruct/Llama-3.1-70B vs Llama-3.1-70B-Instruct: J_vs_R_g1=186, J_vs_R_g2=186, K_vs_R_g1=148, K_vs_R_g2=148
2025-12-24 16:59:47 | DEBUG    | load_cached_preferences:151 | Loaded Llama-3.1-8B-Instruct/Qwen2.5-72B-Instruct vs Llama-3.1-70B-Instruct: J_vs_R_g1=186, J_vs_R_g2=186, K_vs_R_g1=126, K_vs_R_g2=126
